Rank,Team,Name,Nr,Pos,Spiele,Assists
1,BFC Meteor 06,Tugay Adigüzel,61,LV,22,13
2,BFC Meteor 06,Ayham Heimur,92,LM,23,10
3,FC Viktoria 1889 Berlin II,Rayan Ait Manssour,19,LM,26,8
4,BFC Meteor 06,Jannik Jantzen,27,ZDM,22,7
5,BSV Eintracht Mahlsdorf II,Christian Preiss,16,ZM,23,6
6,FSV Berolina Stralau 1901,Christopher Schwarz,NA,ZM,19,6
7,Berliner SC II,Tim Niedenhoff,19,ZM,18,6
8,BSV Eintracht Mahlsdorf II,Marc Michas,10,ST,20,6
9,Berliner SC II,Stefan Glaser,9,ST,18,6
10,FC Viktoria 1889 Berlin II,Matthieu Lucas Weinlein,17,ST,23,6
11,BSV Eintracht Mahlsdorf II,Reto Reichenberger,7,ST,27,6
12,BSV Eintracht Mahlsdorf II,Maurice Völckert,11,ST,12,5
13,BSV Al-Dersimspor,Merdan Baba,10,ST,18,5
14,BFC Meteor 06,Simon Böhm,11,ST,24,5
15,FSV Berolina Stralau 1901,Ole Bresemann,9,ST,23,5
16,BSV Eintracht Mahlsdorf II,Tim Pötig,15,RV,23,5
17,BFC Meteor 06,Ibrahim Celik,47,RM,23,5
18,Berliner SC II,Kevin Uwe Einspannier,6,ZM,23,4
19,BFC Meteor 06,Abdoulaye Djibril Diallo,NA,RV,13,4
20,BFC Meteor 06,Pascal-Rene Jüterbock,84,LM,20,4
21,FSV Berolina Stralau 1901,Robert Klessny,NA,ST,7,3
22,BFC Meteor 06,Tim Riese,4,IV,23,3
23,FSV Berolina Stralau 1901,Eric Stier,5,ST,20,3
24,Berliner SC II,Erhan Kücükosman,10,ST,17,3
25,BFC Meteor 06,Solomon Okoronkwo,NA,ZOM,5,2
26,BFC Meteor 06,Julian Schröder,15,RV,27,2
27,FSV Berolina Stralau 1901,Tom Jonach,16,IV,16,2
28,VfB Concordia Britz 1916,Jerry Gase,7,ST,22,2
29,BFC Meteor 06,Ahmad Zahlan,6,ZDM,26,2
30,SV Stern Britz 1889,Luca Ehrich,27,ZDM,21,2
31,FSV Berolina Stralau 1901,Sebastian Heßler,12,LM,21,2
32,BFC Meteor 06,Oktay Ugur,17,ZOM,23,2
33,TSV Rudow Berlin,Mohammed Hassane,17,ZDM,29,2
34,BSV Eintracht Mahlsdorf II,Kenan Halilcevic,17,LM,13,2
