Rank,Team,Name,Nr,Pos,Spiele,Assists
1,Sportfreunde Johannisthal,Lukas Olff,NA,RV,1,2
2,1. FC Schöneberg 1913,Salih Uzun,NA,NA,1,2
3,DJK Schwarz-Weiß Neukölln,Tobias Schmidt,NA,RM,1,2
4,Berliner SC II,Tim Niedenhoff,19,ZM,1,1
5,Sportfreunde Johannisthal,Nikolas Müller,NA,ZM,1,1
6,Sportfreunde Johannisthal,Max Mittelstädt,NA,ZM,1,1
7,1. FC Schöneberg 1913,Samer Abou Khalil,NA,NA,1,1
8,1. FC Schöneberg 1913,Emre Gedek,NA,NA,1,1
9,1. FC Schöneberg 1913,Emin Musa Cetintas,NA,NA,1,1
10,1. FC Schöneberg 1913,Yildiray Demir,NA,NA,1,1
11,Friedenauer TSC,Tarkan Taskiran,NA,NA,1,1
12,Friedenauer TSC,Dominik Plohmann,NA,NA,1,1
13,DJK Schwarz-Weiß Neukölln,Glian Hoeri,NA,NA,1,1
14,DJK Schwarz-Weiß Neukölln,Vittorio Achour,NA,LM,1,1
15,Berliner SC II,Danilo Arsic,11,NA,0,0
16,Berliner SC II,Leon Ibrom,4,IV,1,0
17,Berliner SC II,Eric Herbst,NA,NA,0,0
18,Berliner SC II,Jakob Baum,20,LM,1,0
19,Berliner SC II,Nikolaos Kaggelidids,15,NA,1,0
20,Berliner SC II,Alwin Hunger,NA,NA,1,0
21,Berliner SC II,Stefan Glaser,9,NA,0,0
22,Berliner SC II,Bryan Lilja,18,RM,1,0
23,Berliner SC II,Jesse Kreuschner,21,TW,1,0
24,Berliner SC II,Ben Fidanboy,NA,NA,0,0
25,Berliner SC II,Erhan Kücükosman,10,ST,1,0
26,Berliner SC II,Paul Schlicht,1,NA,0,0
27,Berliner SC II,Felix Klebe,NA,NA,0,0
28,Berliner SC II,Lennard Schröder,NA,NA,1,0
29,Berliner SC II,Alessandro Tamburo,NA,NA,1,0
30,Berliner SC II,Moritz Brune,NA,NA,0,0
31,Berliner SC II,Yigit Öncü,NA,NA,0,0
32,Berliner SC II,Simon Riedel,NA,NA,0,0
33,Berliner SC II,Carlos Huambo,NA,NA,1,0
34,Berliner SC II,Jannis Gabrielides,NA,NA,0,0
35,Berliner SC II,Yakup Yasar,NA,NA,0,0
36,Berliner SC II,Eike Barth,NA,NA,0,0
37,Berliner SC II,Daniel Brüggemann,NA,NA,0,0
38,Berliner SC II,Konstantin Joseski,NA,RV,1,0
39,Berliner SC II,Alexander Lorenz,NA,ST,1,0
40,Berliner SC II,Nino Zamorano,NA,NA,0,0
41,Berliner SC II,Linus Dersch,7,NA,0,0
42,Berliner SC II,Kevin Uwe Einspannier,6,ZM,1,0
43,Berliner SC II,Nelson Antoniofrancisco,NA,NA,0,0
44,Berliner SC II,Noah Peter,12,NA,0,0
45,Berliner SC II,Alexander Huse,13,NA,0,0
46,Berliner SC II,Jakob Heilmann,2,LV,1,0
47,Berliner SC II,Dominique Leitner,5,IV,1,0
48,Berliner SC II,Marcel Potempa,NA,NA,0,0
49,FC Internationale Berlin 1980,Akiyasu Tsuchiya,NA,ZM,1,0
50,FC Internationale Berlin 1980,Amin Malik Chahed,NA,NA,0,0
51,FC Internationale Berlin 1980,Jasper Büll,NA,NA,0,0
52,FC Internationale Berlin 1980,Thomaz Klingl,NA,NA,0,0
53,FC Internationale Berlin 1980,Stefan Nicola,NA,NA,0,0
54,FC Internationale Berlin 1980,Santiago Henrich Paya,NA,RM,1,0
55,FC Internationale Berlin 1980,Moreno Schneider,NA,NA,0,0
56,FC Internationale Berlin 1980,Marcos Adrian Castro Barbera,NA,NA,0,0
57,FC Internationale Berlin 1980,Jascha Robin Wörteler,NA,IV,1,0
58,FC Internationale Berlin 1980,Jim Bratschke,NA,NA,0,0
59,FC Internationale Berlin 1980,Bryson Rodney Pink,NA,NA,1,0
60,FC Internationale Berlin 1980,Kaan Ucbaglar,NA,NA,0,0
61,FC Internationale Berlin 1980,Giovanni Marigo,NA,LM,1,0
62,FC Internationale Berlin 1980,Tiago de Sousa Oliveira,NA,NA,0,0
63,FC Internationale Berlin 1980,Matteo Topal,NA,NA,0,0
64,FC Internationale Berlin 1980,Saif Merabti,NA,NA,0,0
65,FC Internationale Berlin 1980,Franzisko Bätz,NA,NA,1,0
66,FC Internationale Berlin 1980,Nicolas Costa Echeverria,NA,IV,1,0
67,FC Internationale Berlin 1980,Juan José Swett Barros,NA,NA,0,0
68,FC Internationale Berlin 1980,Dominic Kranz,NA,NA,0,0
69,FC Internationale Berlin 1980,Gaston Ignacio Nieto,NA,ST,1,0
70,FC Internationale Berlin 1980,Cristobal Del Fierro,NA,NA,0,0
71,FC Internationale Berlin 1980,Ryan Max Robert French,NA,NA,0,0
72,FC Internationale Berlin 1980,Maximilian De Rosnay,NA,NA,0,0
73,FC Internationale Berlin 1980,Roger Gonzalez Hermosa,NA,NA,0,0
74,FC Internationale Berlin 1980,Maximilian Louis Alexis Caspar de Rosnay,NA,NA,0,0
75,FC Internationale Berlin 1980,Nicholas Cartwright Stanley,NA,ST,1,0
76,FC Internationale Berlin 1980,Oscar Reinaldo Avendano Leon,NA,NA,0,0
77,FC Internationale Berlin 1980,Sebastian Basaure Larrain,NA,NA,0,0
78,FC Internationale Berlin 1980,Jamie Dell Bullock,NA,NA,1,0
79,FC Internationale Berlin 1980,Joel Broughton Weeks,NA,NA,0,0
80,FC Internationale Berlin 1980,Zachariah Mohamed Dukuly,NA,NA,0,0
81,FC Internationale Berlin 1980,Marlon Mayen Guzman,NA,NA,0,0
82,FC Internationale Berlin 1980,Nikita Ovcharov,NA,NA,1,0
83,FC Internationale Berlin 1980,Alexander Schulze,NA,TW,1,0
84,FC Internationale Berlin 1980,Luis Driemel,NA,IV,1,0
85,FC Internationale Berlin 1980,Antonio Boeddinghaus,NA,NA,0,0
86,FC Internationale Berlin 1980,Niklas Schindler,NA,NA,0,0
87,FC Internationale Berlin 1980,Enrique Freitag,NA,ZM,1,0
88,FC Internationale Berlin 1980,Albert Bauder,NA,NA,1,0
89,FC Internationale Berlin 1980,Milan Daus,NA,NA,1,0
90,FC Internationale Berlin 1980,Josè Francisco Cunto,NA,NA,0,0
91,Sportfreunde Johannisthal,Tim Meyer,NA,NA,0,0
92,Sportfreunde Johannisthal,Yoshua Lüdtke,NA,LM,1,0
93,Sportfreunde Johannisthal,Eric Berthold,NA,NA,0,0
94,Sportfreunde Johannisthal,Toni Ölke,NA,TW,1,0
95,Sportfreunde Johannisthal,Jakob Dörre,NA,LV,1,0
96,Sportfreunde Johannisthal,Marvin Pawel,NA,ZM,1,0
97,Sportfreunde Johannisthal,Tom Franke,NA,ST,1,0
98,Sportfreunde Johannisthal,Max Hoffmann,NA,NA,0,0
99,Sportfreunde Johannisthal,Leander Wachholz,NA,NA,0,0
100,Sportfreunde Johannisthal,Yannik Pilz,NA,IV,1,0
101,Sportfreunde Johannisthal,Benjamin Mujic,NA,NA,0,0
102,Sportfreunde Johannisthal,Chehine Chaieb,NA,NA,0,0
103,Sportfreunde Johannisthal,Colin Gonda,NA,NA,0,0
104,Sportfreunde Johannisthal,Taha Acar,NA,IV,0,0
105,Sportfreunde Johannisthal,Mathis Aust,NA,NA,1,0
106,Sportfreunde Johannisthal,Luca Wendt,NA,IV,0,0
107,Sportfreunde Johannisthal,Elias Melnik,NA,NA,0,0
108,Sportfreunde Johannisthal,Patrick Kroll,NA,NA,0,0
109,Sportfreunde Johannisthal,Robin Singh,NA,NA,0,0
110,Sportfreunde Johannisthal,Lars Walden,NA,IV,1,0
111,Sportfreunde Johannisthal,Jonathan Behrend,NA,NA,0,0
112,Sportfreunde Johannisthal,Eric Warncke,NA,RM,1,0
113,Sportfreunde Johannisthal,Hendrik Bode,NA,NA,0,0
114,Sportfreunde Johannisthal,Lukas Ferl,NA,NA,1,0
115,Sportfreunde Johannisthal,Marvin Herter,NA,NA,0,0
116,Sportfreunde Johannisthal,Marvin Hilgendorf,NA,NA,0,0
117,Berlin Hilalspor,Ilker Hasret Demir,NA,NA,0,0
118,Berlin Hilalspor,Cihat Birol,NA,NA,0,0
119,Berlin Hilalspor,Sadri Can Ekmekci,NA,NA,1,0
120,Berlin Hilalspor,Charles Gisede,NA,NA,0,0
121,Berlin Hilalspor,Donte Williams,NA,NA,0,0
122,Berlin Hilalspor,Chakourou Garba,NA,NA,0,0
123,Berlin Hilalspor,Talha Diken,NA,NA,0,0
124,Berlin Hilalspor,Dogus Güngör,NA,NA,0,0
125,Berlin Hilalspor,Ensar Gün,NA,NA,1,0
126,Berlin Hilalspor,Armin Asotic,NA,RV,1,0
127,Berlin Hilalspor,Kassem El-Ahmad,NA,NA,1,0
128,Berlin Hilalspor,Willy Akanakimana,NA,ZM,1,0
129,Berlin Hilalspor,Hussein Barbich,NA,NA,0,0
