Rank,Team,Name,Nr,Pos,Spiele,Scorerpoints
1,SC Berliner Amateure,Asbjørn Kistrup Barfod,NA,NA,2,1
2,SF Charlottenburg-Wilmersdorf 03,Maximilian Kocher,NA,RM,2,1
3,Berliner SC II,Kevin Uwe Einspannier,6,ST,2,0.5
4,Berliner SC II,Tim Niedenhoff,19,IV,2,0.5
5,Berlin Hilalspor,Mohamad-Ali Chawraba,NA,LM,2,0.5
6,SC Berliner Amateure,Jan Schönball,NA,NA,1,0.5
7,Pfeffersport,William Scarlett,NA,NA,2,0.5
8,BFC Preussen II,Rommel Abou-Chaker,NA,ZOM,2,0.5
9,BFC Preussen II,Georgios Mikelatze,NA,ST,1,0.5
10,Friedenauer TSC,Tim Gandert,NA,NA,2,0.4
11,Friedenauer TSC,Ihab Al-Khalaf,NA,NA,1,0.4
12,BSV Hürtürkel,Leopold Antonius Bussmann,NA,RM,2,0.333
13,BSV Hürtürkel,Onur Yüksek,NA,NA,2,0.333
14,BSV Hürtürkel,Umut Yüksek,NA,NA,2,0.333
15,SV Empor Berlin II,Nico Bochnia,NA,ST,2,0.333
16,SV Empor Berlin II,Luis Ploschenz,NA,NA,1,0.333
17,Berliner SC II,Konstantin Joseski,NA,RV,2,0.25
18,Pfeffersport,Jonathan Grunert,NA,ST,2,0.25
19,Pfeffersport,Mohammad Barakat,NA,NA,2,0.25
20,Pfeffersport,Paul Oskar Schirp,NA,ZM,1,0.25
21,Friedenauer TSC,Tarkan Taskiran,NA,NA,2,0.2
22,Friedenauer TSC,Diego Joaquin Lopez Martinez,NA,NA,1,0.2
23,Friedenauer TSC,Dominik Plohmann,NA,NA,1,0.2
24,Berlin Hilalspor,Okan Ekmekci,NA,NA,2,0.167
25,Berlin Hilalspor,Volkan Neziroglu,NA,ST,2,0.167
26,Berlin Hilalspor,Hasan Köse,NA,ZM,2,0.167
27,BSV Hürtürkel,Kubilay Yilmaz,NA,ST,2,0.167
28,SV Empor Berlin II,Emile Ako,NA,ZM,2,0.167
29,SV Empor Berlin II,Billy Bradley Tuckerman,NA,LM,2,0.167
30,Berliner SC II,Danilo Arsic,11,NA,1,0
31,Berliner SC II,Leon Ibrom,4,IV,1,0
32,Berliner SC II,Jakob Baum,20,LM,2,0
33,Berliner SC II,Nikolaos Kaggelidids,15,ZM,2,0
34,Berliner SC II,Alwin Hunger,NA,NA,1,0
35,Berliner SC II,Bryan Lilja,18,RM,2,0
36,Berliner SC II,Jesse Kreuschner,21,TW,2,0
37,Berliner SC II,Erhan Kücükosman,10,ST,1,0
38,Berliner SC II,Lennard Schröder,NA,NA,2,0
39,Berliner SC II,Alessandro Tamburo,NA,ST,2,0
40,Berliner SC II,Yigit Öncü,NA,NA,1,0
41,Berliner SC II,Carlos Huambo,NA,NA,2,0
42,Berliner SC II,Daniel Brüggemann,NA,NA,1,0
43,Berliner SC II,Alexander Lorenz,NA,ST,1,0
44,Berliner SC II,Nino Zamorano,NA,NA,1,0
45,Berliner SC II,Jakob Heilmann,2,LV,2,0
46,Berliner SC II,Dominique Leitner,5,IV,2,0
47,FC Internationale Berlin 1980,Akiyasu Tsuchiya,NA,ZM,2,0
48,FC Internationale Berlin 1980,Santiago Henrich Paya,NA,RM,2,0
49,FC Internationale Berlin 1980,Jascha Robin Wörteler,NA,IV,2,0
50,FC Internationale Berlin 1980,Bryson Rodney Pink,NA,LM,2,0
51,FC Internationale Berlin 1980,Giovanni Marigo,NA,LM,2,0
52,FC Internationale Berlin 1980,Franzisko Bätz,NA,ZM,2,0
53,FC Internationale Berlin 1980,Nicolas Costa Echeverria,NA,IV,1,0
54,FC Internationale Berlin 1980,Gaston Ignacio Nieto,NA,ST,2,0
55,FC Internationale Berlin 1980,Nicholas Cartwright Stanley,NA,ST,2,0
56,FC Internationale Berlin 1980,Jamie Dell Bullock,NA,NA,2,0
57,FC Internationale Berlin 1980,Nikita Ovcharov,NA,NA,1,0
58,FC Internationale Berlin 1980,Alexander Schulze,NA,TW,2,0
59,FC Internationale Berlin 1980,Luis Driemel,NA,IV,1,0
60,FC Internationale Berlin 1980,Joshua Senne,NA,NA,1,0
61,FC Internationale Berlin 1980,Antonio Boeddinghaus,NA,IV,1,0
62,FC Internationale Berlin 1980,Niklas Schindler,NA,IV,1,0
63,FC Internationale Berlin 1980,Enrique Freitag,NA,ZM,2,0
64,FC Internationale Berlin 1980,Albert Bauder,NA,NA,2,0
65,FC Internationale Berlin 1980,Milan Daus,NA,NA,1,0
66,Sportfreunde Johannisthal,Nikolas Müller,NA,LM,2,0
67,Sportfreunde Johannisthal,Max Mittelstädt,NA,RM,2,0
68,Sportfreunde Johannisthal,Yoshua Lüdtke,NA,LM,2,0
69,Sportfreunde Johannisthal,Toni Ölke,NA,TW,2,0
70,Sportfreunde Johannisthal,Jakob Dörre,NA,LV,2,0
71,Sportfreunde Johannisthal,Marvin Pawel,NA,ZM,2,0
72,Sportfreunde Johannisthal,Tom Franke,NA,ST,1,0
73,Sportfreunde Johannisthal,Max Hoffmann,NA,NA,1,0
74,Sportfreunde Johannisthal,Yannik Pilz,NA,IV,2,0
75,Sportfreunde Johannisthal,Colin Gonda,NA,ZDM,1,0
76,Sportfreunde Johannisthal,Mathis Aust,NA,NA,1,0
77,Sportfreunde Johannisthal,Patrick Kroll,NA,NA,1,0
78,Sportfreunde Johannisthal,Lars Walden,NA,IV,2,0
79,Sportfreunde Johannisthal,Jonathan Behrend,NA,ZDM,1,0
80,Sportfreunde Johannisthal,Eric Warncke,NA,RM,2,0
81,Sportfreunde Johannisthal,Lukas Ferl,NA,NA,2,0
82,Sportfreunde Johannisthal,Marvin Herter,NA,LV,1,0
83,Sportfreunde Johannisthal,Lukas Olff,NA,RV,2,0
84,Berlin Hilalspor,Sadri Can Ekmekci,NA,NA,2,0
85,Berlin Hilalspor,Ömer Tanis,NA,IV,1,0
86,Berlin Hilalspor,Donte Williams,NA,NA,1,0
87,Berlin Hilalspor,Mortaza Rahimi,NA,LV,1,0
88,Berlin Hilalspor,Dogus Güngör,NA,RV,1,0
89,Berlin Hilalspor,Ensar Gün,NA,NA,1,0
90,Berlin Hilalspor,Armin Asotic,NA,RM,2,0
91,Berlin Hilalspor,Kassem El-Ahmad,NA,NA,1,0
92,Berlin Hilalspor,Willy Akanakimana,NA,ZM,1,0
93,Berlin Hilalspor,Mohammed Fadel,NA,TW,1,0
94,Berlin Hilalspor,Ramdane Wahabou,NA,LM,2,0
95,Berlin Hilalspor,Mohamed Marouwane,NA,IV,2,0
96,Berlin Hilalspor,Taha Aslan,NA,ZM,2,0
97,Berlin Hilalspor,Onur Eren,NA,NA,1,0
98,Berlin Hilalspor,Davut Kösker,NA,TW,1,0
99,Berlin Hilalspor,Görkem Yilmaz,NA,ST,2,0
100,Berlin Hilalspor,Bilgehan Hancer,NA,ST,2,0
101,BSV Hürtürkel,Jacob Ahrendt,NA,NA,1,0
102,BSV Hürtürkel,Muzaffer Kirimoglu,NA,NA,1,0
103,BSV Hürtürkel,David Langer,NA,NA,1,0
104,BSV Hürtürkel,Dursun Tunahan Akdag,NA,ZDM,2,0
105,BSV Hürtürkel,Görkem-Alp Zeren,NA,NA,1,0
106,BSV Hürtürkel,Emre Kücükodabasi,NA,RV,2,0
107,BSV Hürtürkel,Muhammed Yildirgan,NA,NA,1,0
108,BSV Hürtürkel,Ali Tanis,NA,IV,2,0
109,BSV Hürtürkel,Ilker Samed Yigit,NA,NA,2,0
110,BSV Hürtürkel,Harun Efe Kurnaz,NA,ZOM,2,0
111,BSV Hürtürkel,Furkan Arslan,NA,NA,1,0
112,BSV Hürtürkel,Serkan Türkoglu,NA,IV,2,0
113,BSV Hürtürkel,Ismail Ülke,NA,NA,1,0
114,BSV Hürtürkel,Abdullah Usame Karadeniz,NA,TW,1,0
115,BSV Hürtürkel,Ibrahim Inal,NA,NA,1,0
116,1. FC Schöneberg 1913,Samer Abou Khalil,NA,NA,1,0
117,1. FC Schöneberg 1913,Emre Gedek,NA,NA,2,0
118,1. FC Schöneberg 1913,Atakan Gündogdu,NA,LV,1,0
119,1. FC Schöneberg 1913,Radovan-Damjan Stojanovic,NA,IV,2,0
120,1. FC Schöneberg 1913,Morrez Nhacuonga,NA,NA,2,0
121,1. FC Schöneberg 1913,Zafer Kaan Göksar,NA,NA,1,0
122,1. FC Schöneberg 1913,Dolunay Sabahat,NA,NA,1,0
123,1. FC Schöneberg 1913,Emin Musa Cetintas,NA,RM,2,0
124,1. FC Schöneberg 1913,Yildiray Demir,NA,ZDM,2,0
125,1. FC Schöneberg 1913,Dogukan Degirmenci,NA,RV,2,0
126,1. FC Schöneberg 1913,Kani Özdil,NA,IV,2,0
127,1. FC Schöneberg 1913,Tahsin Özkara,NA,NA,1,0
128,1. FC Schöneberg 1913,Burak Cabuk,NA,ZDM,2,0
129,1. FC Schöneberg 1913,Sean Franz,NA,ZDM,2,0
130,1. FC Schöneberg 1913,Enes Uzun,NA,NA,2,0
131,1. FC Schöneberg 1913,Izzet Ciftci,NA,NA,2,0
132,1. FC Schöneberg 1913,Salih Uzun,NA,NA,2,0
133,1. FC Schöneberg 1913,Janik Meyer,NA,TW,1,0
134,Berliner SV 1892,Niklas Jost,NA,IV,2,0
