Rank,Team,Name,Nr,Pos,Spiele,Assists
1,FC Viktoria 1889 Berlin II,Rayan Ait Manssour,19,LM,16,7
2,BFC Meteor 06,Ayham Heimur,92,LM,16,6
3,BFC Meteor 06,Jannik Jantzen,27,ZDM,13,6
4,BFC Meteor 06,Tugay Adigüzel,61,LV,14,5
5,BSV Eintracht Mahlsdorf II,Marc Michas,10,ZM,11,5
6,Berliner SC II,Stefan Glaser,9,ST,14,5
7,BSV Eintracht Mahlsdorf II,Christian Preiss,16,ZM,14,4
8,BSV Eintracht Mahlsdorf II,Maurice Völckert,11,ST,10,4
9,BSV Al-Dersimspor,Merdan Baba,10,ST,8,3
10,FSV Berolina Stralau 1901,Eric Stier,5,ST,14,3
11,FC Viktoria 1889 Berlin II,Matthieu Lucas Weinlein,17,ST,13,3
12,BFC Meteor 06,Solomon Okoronkwo,NA,ZOM,5,2
13,FSV Berolina Stralau 1901,Tom Jonach,16,ZM,12,2
14,VfB Concordia Britz 1916,Jerry Gase,7,ST,13,2
15,FSV Berolina Stralau 1901,Christopher Schwarz,NA,ZM,9,2
16,SV Stern Britz 1889,Luca Ehrich,27,ZDM,13,2
17,Berliner SC II,Tim Niedenhoff,19,ZM,10,2
18,BFC Meteor 06,Simon Böhm,11,ST,13,2
19,BSV Eintracht Mahlsdorf II,Kenan Halilcevic,17,LM,13,2
20,FSV Berolina Stralau 1901,Ole Bresemann,9,ST,12,2
21,BFC Meteor 06,Pascal-Rene Jüterbock,84,LM,7,2
22,Berliner SC II,Erhan Kücükosman,10,RM,9,2
23,BSV Eintracht Mahlsdorf II,Justin Engfer,20,RV,6,2
24,BSV Eintracht Mahlsdorf II,Reto Reichenberger,7,ST,15,2
25,BSV Eintracht Mahlsdorf II,Tim Pötig,15,RV,12,2
26,FSV Berolina Stralau 1901,Robert Adler,3,IV,7,1
27,Berliner SC II,Bene Brecht,16,ZM,5,1
28,FSV Berolina Stralau 1901,Robert Klessny,NA,ST,1,1
29,BFC Meteor 06,Julian Schröder,15,RV,14,1
30,SV Stern Britz 1889,Christopher Schneider,NA,RM,1,1
31,Berliner SC II,Kevin Uwe Einspannier,6,ST,14,1
32,BFC Meteor 06,Serkan Karasu,3,ZDM,15,1
33,BSV Al-Dersimspor,Mücahid Kahraman,3,RV,14,1
34,Berliner SC II,Alexander Huse,13,ST,11,1
35,TSV Rudow Berlin,Matteo Günther,9,ST,14,1
36,SV Stern Britz 1889,Naim Senay,26,RV,10,1
37,BSV Al-Dersimspor,Emre-Eyüp Önal,7,ZDM,14,1
38,SV Stern Britz 1889,Timo Höhna,6,LV,13,1
39,FSV Berolina Stralau 1901,Sebastian Heßler,12,LM,11,1
40,BSV Al-Dersimspor,Caglar Polat,27,ZOM,12,1
41,BFC Meteor 06,Tim Riese,4,IV,14,1
42,BSV Eintracht Mahlsdorf II,Devis Meißner,NA,TW,1,1
43,Köpenicker FC,Roman Ilinseer,18,ST,13,1
44,BSV Al-Dersimspor,Baris Güngör,NA,ZM,5,1
45,FSV Berolina Stralau 1901,Ibrahim Diallo,10,ZM,8,1
46,TSV Rudow Berlin,Dominik Thonfeld,23,ST,9,1
47,BSV Eintracht Mahlsdorf II,Leon Schmeißer,20,RM,7,1
48,BFC Meteor 06,Fredy Balde,8,LM,6,1
49,FC Viktoria 1889 Berlin II,David Nagel,4,IV,7,1
50,BSV Eintracht Mahlsdorf II,Marius Schreiber,8,LV,1,1
51,BSV Eintracht Mahlsdorf II,Oliver Spigaht,6,RM,8,1
52,BFC Meteor 06,Lennart Nerlich,5,IV,15,1
53,FC Viktoria 1889 Berlin II,Chae-Hyun Jeong,11,RM,11,1
54,BSV Eintracht Mahlsdorf II,Marvin Müller,NA,ZDM,1,1
55,Berliner SC II,Ben Fidanboy,28,RV,6,1
56,BFC Preussen II,Kevin Anderson Moreira Godinho,18,RM,7,1
57,FC Viktoria 1889 Berlin II,Justin Thiele,6,IV,13,1
58,BSV Eintracht Mahlsdorf II,Tim-Luca Eberl,NA,RV,4,1
59,FC Viktoria 1889 Berlin II,Konstantin- Alexander Westhäußer,13,NA,13,1
60,SV Stern Britz 1889,Shaker Shawrdi,20,LM,10,1
61,BFC Preussen II,Lucky Ugbogbo,NA,LM,5,1
62,BSV Eintracht Mahlsdorf II,Phillip Streiter,22,TW,16,1
63,BFC Meteor 06,Eriseld Tafilaj,69,NA,11,1
64,BSV Eintracht Mahlsdorf II,Mohammad Mansour,5,IV,13,1
65,FC Viktoria 1889 Berlin II,Maciej Macias,24,ZOM,11,1
66,BSV Al-Dersimspor,Jonathan Schäfer,18,LV,11,1
67,BSV Eintracht Mahlsdorf II,Jonas Maroske,6,ZM,12,1
